id,venue_id,category,name,description,abv_pct,taste_tags,price,volume_ml,active
100,1,Лонги,Пина Колада,"Ром, ананасовый сок, сироп кокос, сливки",,сладкий;тропический,450,250,1
101,1,Лонги,Лонг-Айленд,"Водка, джин, ром, текила, трипл сек, сок лимона, кола",,кислый;классический,500,250,1
102,1,Лонги,Анютины глазки,"Водка, ром, сироп блю кюрасао, сироп дыня, яблочный сок, сок лимона",,сладкий,400,250,1
103,1,Лонги,Май Тай,"Ром, амаретто, трипл сек, ананасовый сок, сироп гренадин, сироп кокос",,;сладкий;тропический,450,250,1
104,1,Лонги,Текила Санрайз,"Текила, апельсиновый сок, сироп гренадин",,кисло-сладкий;цитрусовый,400,250,1
105,1,Лонги,Голубая лагуна,"Джин, ликер блю кюрасао, сок лимона, спрайт",,кислый;освежающий,400,250,1
106,1,Лонги,Финская заправка,"Абсент, виски, водка, трипл сек, сироп черная смородина, сок лимона, спрайт",,травяной;сладкий;500,250,1
107,1,Лонги,Эль Дьябло,"Текила, сироп смородина, сок лайма, имбирь, содовая",,кисло-сладкий;освежающий;пикантный,400,250,1
108,1,Лонги,Доктор Пеппер,"Ром, кола, сок лимона, вишневый сок",,кислый;освежающий,400,250,1
109,1,Лонги,Апероль Шприц,"Апероль, игристое, содовая",,горький;освежающий,450,250,1
110,1,Лонги,Джигурдец,"Водка, виски, амаретто, трипл сек, ром, сок лимона, грейпфрутовый сок",,кислый;горький;тропический,450,250,1
111,1,Лонги,Шоколадная передряга,"Виски, сироп шоколадное печенье, сливочный ликер, сливки",,сладкий;сливочный;десертный,450,250,1
112,1,Лонги,Чо-Каво,"Апероль, джин, сироп бабл гам, сок лимона, спрайт",,горький;кислый;освежающий;сладкий,400,250,1
113,1,Лонги,СКА,"Ягермейстер, джин, вишневый сок, сок лайма, сироп клюква",,кислый;пряный;травяной,400,250,1
114,1,Лонги,Электрик,"Ром, текила, водка, джин, блю кюрасао ликер, спрайт",,освежающий;тропический;терпкий,500,250,1
115,1,Лонги,Голубые трамваи,"Ром, ликер блю кюрасао, ананасовый сок, сироп кокос",,сладкий;тропический,400,250,1
116,1,Лонги,Mea Culpa,"Джин, трипл сек, сок грейпфрут, сироп клубника",,кислый;сладкий;цитрусовый,400,250,1
117,1,Лонги,Майор Плэйдж,"Джин, яблочный сок, сироп груша, сок лимона, содовая",,кислый;освежающий,400,250,1
118,1,Лонги,Манго Слинг,"Джин, имбирь, сироп манго, лимонный сок, мята",,освежающий;тропический,400,250,1
119,1,Лонги,Кровавая Мэри,"Водка, настойка гаспачо, томатный сок, сок лимона, специи",,соленый;пикантный,450,250,1
120,1,Шоты,Облако,"Самбука, текила, абсент, ликер блю кюрасао, бейлиз",,горький,300,40,1
121,1,Шоты,Опухоль мозга,"Сухой вермут, водка, сливочный ликер, сироп гренадин",,горький,300,40,1
122,1,Шоты,Уважуха,"Сироп бабл-гам, амаретто, ром",,сладкий;тропический,300,40,1
123,1,Шоты,Медуза,"Трипл сек, ром, бейлиз, ликер блю кюрасао, кокосовый сироп",,сладкий;тропический,300,40,1
124,1,Шоты,Хиросима,"Самбука, бейлиз, абсент, сироп гренадин",,горький,300,40,1
125,1,Шоты,Скользкий сосок,"Самбука, бейлиз, сироп гренадин",,горький,300,40,1
126,1,Шоты,Нагасаки,"Кофейный ликер, самбука, текила, бейлиз, сироп гренадин",,горький,300,40,1
127,1,Шоты,Серебряная пуля,"Текила, кофейный ликер, лимон",,,300,40,1
128,1,Шоты,B-52,"Ликер Калуa, бейлиз, трипл сек",,,300,40,1
129,1,Шоты,Рыжая собака,"Самбука, текила, соус табаско",,освежающий,300,40,1
130,1,Шоты,Боярский,"Водка, сироп гренадин, соус табаско",,горький;освежающий,300,40,1
131,1,База,Крестный отец,"Виски, амаретто",,терпкий;миндальный,350,150,1
132,1,База,Белый русский,"Водка, кофейный ликер, сливки",,сливончый;кофейный,400,150,1
133,1,База,Дайкири,"Ром, лимонный сок, сахарный сироп",,тропический;кислый,400,150,1
134,1,База,Негрони,"Кампари, джин, красный вермут",,горький;классический,450,150,1
135,1,База,Джин-тоник,"Джин, тоник, лимон",,освежающий,300,150,1
136,1,База,Куба-либре,"Ром, кола, лимон",,тропический,300,150,1
137,1,База,Виски-кола,"Виски, кола",,,300,150,1
138,1,База,Бе-Тон,"Бехеровка, тоник, сок лимона",,кислый;освежающий;травяной,400,150,1
139,1,База,Бояре,"Джин, трипл сек, кампари, вишневый сок",,горький,450,150,1
140,1,База,Виски Сауэр,"Виски, сахарный сироп, сок лимона, белок",,кислый,450,150,1
141,1,База,Маргарита,"Текила, трипл сек, сок лайма",,кислый,400,150,1
142,1,База,Американо,"Кампари, красный вермут, содовая",,горький;освежающий,450,150,1
143,1,Б/А напитки,Коктейль,,,,250,250,1
144,1,Б/А напитки,Чай 0.5 л,,,,200,500,1
