id,text,a,b,c,d,correct,difficulty,active
1,"Как называется классический коктейль на основе виски, сахара и биттера?",Old Fashioned,Negroni,Margarita,Daiquiri,a,1,1
2,Какой спиртная основа у «Маргариты»?,Ром,Текила,Джин,Водка,b,1,1
3,Чья заправка?,Финская,Чешская,Румынская,Польская,a,1,1
4,Как зовут Пивкина?,Рома,Гоша,Саша,Глеб,a,1,1
5,Куда уехал Олег?,Санкт-Петербург,Питер,Нахуй,Грузия,a,1,1
6,Любимое блюдо Сани из Малого Поддона?,РИС,КУРА,ЯЙЦА,БАНАН,a,1,1
7,Сколько см у Юрца?,20 см,30 см,25 см,,a,1,1
8,Маскот Саратовского Поддона?,Кабачок,Матвей,Юля,Брат Пивкина,b,1,1
9,Что умеет Илюха?,ломать,чинить,строить,петь,a,1,1
10,Любимый пивас Димасика?,темный,светлый,пшеничный,резаный,a,1,1
11,Сколько может поднять Кроха?,250 кг,180 кг,289 кг,"всю Землю, блеат, только дайте рычаг!",d,1,1
12,Наш любимый Художник?,Ваня Дураков,Дурак Ванев,Паша Дуров,Ван Гог,a,1,1
13,Сколько всего Поддонов?,2,5,7,8,c,1,1
14,Базовая погремуха новых работников?,Шнырь,Плавник,Бугор,Клецка,a,1,1
15,Что набито у Маскита?,Черепашки-Нинздя,Человек-Паук,Лев на всю спину,Купола,a,1,1
